,city,day,convrate,avspend,visits,Gsearchprod,online_purchases,sales
341,Naples,2019-02-05,0.374,37.31,24526,989,9172.724,342234.33244
342,Milan,2019-02-06,0.6729999999999999,43.64,35971,9317,24208.482999999997,1056458.1981199998
343,Rome,2019-02-06,0.515,38.21,15959,5014,8218.885,314043.59585000004
344,Naples,2019-02-06,0.581,26.13,24354,957,14149.673999999999,369730.98162
345,Milan,2019-02-07,0.716,42.78,36008,9417,25781.728,1102942.32384
346,Rome,2019-02-07,0.45799999999999996,46.23,16039,5019,7345.861999999999,339599.20025999995
347,Naples,2019-02-07,0.631,26.36,24238,656,15294.178,403154.53208
348,Milan,2019-02-08,0.727,41.7,36023,9451,26188.720999999998,1092069.6657
349,Rome,2019-02-08,0.5710000000000001,35.01,16133,5015,9211.943000000001,322510.12443
350,Naples,2019-02-08,0.35,48.89,24343,1024,8520.05,416545.2445
351,Milan,2019-02-09,0.654,47.43,36017,9380,23555.118000000002,1117219.24674
352,Rome,2019-02-09,0.72,27.51,16070,4968,11570.4,318301.704
353,Naples,2019-02-09,0.48,32.03,24327,787,11676.96,374013.0288
354,Milan,2019-02-10,0.642,45.7,36023,9473,23126.766,1056893.2062000001
355,Rome,2019-02-10,0.513,38.43,16294,5020,8358.822,321229.52946
356,Naples,2019-02-10,0.484,33.53,24424,886,11821.216,396365.37248
357,Milan,2019-02-11,0.369,80.52,36064,9455,13307.616,1071529.2403199999
358,Rome,2019-02-11,0.473,40.82,16226,4971,7674.897999999999,313289.33635999996
359,Naples,2019-02-11,0.7390000000000001,22.41,24408,832,18037.512000000002,404220.64392000006
360,Milan,2019-02-12,0.733,41.59,36189,9526,26526.537,1103238.67383
361,Rome,2019-02-12,0.6659999999999999,29.66,15987,4894,10647.341999999999,315800.16371999995
362,Naples,2019-02-12,0.38,43.34,24236,810,9209.68,399147.5312
363,Milan,2019-02-13,0.659,47.4,36487,9460,24044.933,1139729.8242
364,Rome,2019-02-13,0.501,43.79,16076,5065,8054.076,352687.98803999997
365,Naples,2019-02-13,0.565,29.6,24226,1004,13687.689999999999,405155.62399999995
366,Milan,2019-02-14,0.597,52.54,36206,9467,21614.982,1135651.15428
367,Rome,2019-02-14,0.5429999999999999,37.01,16298,5040,8849.813999999998,327531.61613999994
368,Naples,2019-02-14,0.363,42.02,24054,846,8731.601999999999,366901.91604
369,Milan,2019-02-15,0.629,48.15,36395,9473,22892.455,1102271.7082500001
370,Rome,2019-02-15,0.5870000000000001,33.21,16312,4990,9575.144000000002,317990.5322400001
371,Naples,2019-02-15,0.449,37.29,23996,807,10774.204,401770.06716
372,Milan,2019-02-16,0.425,72.83,36277,9457,15417.725,1122872.91175
373,Rome,2019-02-16,0.391,45.85,16227,5017,6344.7570000000005,290907.10845000006
374,Naples,2019-02-16,0.685,23.98,23811,756,16310.535000000002,391126.62930000003
375,Milan,2019-02-17,0.5770000000000001,53.37,36115,9475,20838.355000000003,1112143.0063500002
376,Rome,2019-02-17,0.47100000000000003,42.96,16129,4917,7596.759000000001,326356.76664000005
377,Naples,2019-02-17,0.611,26.66,24044,983,14690.884,391658.96744
378,Milan,2019-02-18,0.526,58.22,35912,9365,18889.712,1099759.0326399999
379,Rome,2019-02-18,0.496,40.76,16024,4933,7947.9039999999995,323956.56704
380,Naples,2019-02-18,0.589,26.98,24029,864,14153.081,381850.12538
381,Milan,2019-02-19,0.42700000000000005,69.86,36080,9461,15406.160000000002,1076274.3376000002
382,Rome,2019-02-19,0.375,49.2,15828,4906,5935.5,292026.60000000003
383,Naples,2019-02-19,0.5589999999999999,26.75,24421,948,13651.338999999998,365173.31824999995
384,Milan,2019-02-20,0.49,61.4,36143,9376,17710.07,1087398.298
385,Rome,2019-02-20,0.441,44.45,15809,5096,6971.769,309895.13205
386,Naples,2019-02-20,0.747,21.66,24541,710,18332.127,397073.87082
387,Milan,2019-02-21,0.484,64.95,36253,9479,17546.452,1139642.0574
388,Rome,2019-02-21,0.46299999999999997,40.97,15783,5062,7307.5289999999995,299389.46313
389,Naples,2019-02-21,0.637,27.45,24572,1078,15652.364,429657.3918
390,Milan,2019-02-22,0.4,72.02,36213,9465,14485.2,1043224.104
391,Rome,2019-02-22,0.6809999999999999,29.08,16141,5087,10992.020999999999,319647.97067999997
392,Naples,2019-02-22,0.49,34.84,24469,1067,11989.81,417724.9804
393,Milan,2019-02-23,0.713,43.74,36175,9480,25792.774999999998,1128175.9785
394,Rome,2019-02-23,0.5489999999999999,39.59,16253,5035,8922.896999999999,353257.49223
395,Naples,2019-02-23,0.536,31.19,24707,1004,13242.952000000001,413047.67288
396,Milan,2019-02-24,0.445,67.36,36196,9435,16107.22,1084982.3392
397,Rome,2019-02-24,0.401,54.31,16349,5111,6555.9490000000005,356053.59019
398,Naples,2019-02-24,0.7490000000000001,20.7,24624,916,18443.376000000004,381777.88320000004
399,Milan,2019-02-25,0.55,55.19,36057,9467,19831.350000000002,1094492.2065
400,Rome,2019-02-25,0.561,38.03,15952,5008,8949.072,340333.20816000004
401,Naples,2019-02-25,0.531,33.96,24363,786,12936.753,439332.13188000006
402,Milan,2019-02-26,0.535,55.08,36103,9426,19315.105,1063875.9834
403,Rome,2019-02-26,0.5770000000000001,33.72,16317,5031,9414.909000000001,317470.73148
404,Naples,2019-02-26,0.611,25.36,24617,900,15040.987,381439.43032
405,Milan,2019-02-27,0.53,59.34,36114,9454,19140.420000000002,1135792.5228000002
406,Rome,2019-02-27,0.439,48.42,16403,5043,7200.917,348668.40114000003
407,Naples,2019-02-27,0.48100000000000004,33.19,24646,765,11854.726,393458.35594
408,Milan,2019-02-28,0.529,54.91,36189,9465,19143.981,1051195.9967099999
409,Rome,2019-02-28,0.63,31.98,16074,4993,10126.62,323849.30760000006
410,Naples,2019-02-28,0.382,43.15,24688,986,9430.816,406939.71040000004
411,Milan,2019-03-01,0.565,51.66,36157,9472,20428.704999999998,1055346.9002999999
412,Rome,2019-03-01,0.546,39.67,16223,5263,8857.758,351387.25986
413,Naples,2019-03-01,0.547,30.31,24586,851,13448.542000000001,407625.30802
414,Milan,2019-03-02,0.705,42.65,36177,9471,25504.785,1087779.0802499999
415,Rome,2019-03-02,0.6409999999999999,33.63,15919,4880,10204.078999999998,343163.17676999996
416,Naples,2019-03-02,0.5820000000000001,27.46,24518,885,14269.476000000002,391839.8109600001
417,Milan,2019-03-03,0.54,51.28,36220,9354,19558.800000000003,1002975.2640000002
418,Rome,2019-03-03,0.405,49.06,15989,4915,6475.545,317690.2377
419,Naples,2019-03-03,0.696,24.24,24607,931,17126.471999999998,415145.6812799999
420,Milan,2019-03-04,0.374,80.2,36239,9425,13553.386,1086981.5572000002
421,Rome,2019-03-04,0.45799999999999996,41.94,16064,5054,7357.311999999999,308565.66527999996
422,Naples,2019-03-04,0.552,28.79,24401,863,13469.352,387782.64408
423,Milan,2019-03-05,0.385,77.04,36194,9447,13934.69,1073528.5176000001
424,Rome,2019-03-05,0.435,48.69,15976,4961,6949.56,338374.0764
425,Naples,2019-03-05,0.722,19.63,24368,774,17593.696,345364.25247999997
426,Milan,2019-03-06,0.42700000000000005,74.62,36053,9438,15394.631000000001,1148747.3652200003
427,Rome,2019-03-06,0.613,30.07,15843,4930,9711.759,292032.59313
428,Naples,2019-03-06,0.615,25.71,24471,929,15049.664999999999,386926.88714999997
429,Milan,2019-03-07,0.455,67.5,36046,9456,16400.93,1107062.775
430,Rome,2019-03-07,0.541,38.42,15955,5087,8631.655,331628.18510000006
431,Naples,2019-03-07,0.46399999999999997,32.55,24318,957,11283.552,367279.61759999994
432,Milan,2019-03-08,0.436,68.63,35841,9468,15626.676,1072458.77388
433,Rome,2019-03-08,0.718,29.03,16176,5068,11614.368,337165.10304
434,Naples,2019-03-08,0.659,24.04,24412,1113,16087.508000000002,386743.69232000003
435,Milan,2019-03-09,0.483,63.91,35960,9456,17368.68,1110032.3388
436,Rome,2019-03-09,0.384,54.13,16308,5109,6262.272,338976.78336
437,Naples,2019-03-09,0.679,21.97,24879,1136,16892.841,371135.71677
438,Milan,2019-03-10,0.47700000000000004,63.73,36371,9559,17348.967,1105649.66691
439,Rome,2019-03-10,0.479,42.88,16403,5010,7857.036999999999,336909.74656
440,Naples,2019-03-10,0.371,42.63,25273,998,9376.283,399710.94429
441,Milan,2019-03-11,0.564,53.11,36416,9579,20538.624,1090806.32064
442,Rome,2019-03-11,0.614,32.68,16312,5057,10015.568,327308.76223999995
443,Naples,2019-03-11,0.662,22.83,25273,1008,16730.726000000002,381962.47458000004
444,Milan,2019-03-12,0.541,56.41,36525,9503,19760.025,1114663.01025
445,Rome,2019-03-12,0.40399999999999997,54.51,16083,5061,6497.531999999999,354180.46932
446,Naples,2019-03-12,0.603,27.23,25085,861,15126.255,411887.92365
447,Milan,2019-03-13,0.523,56.0,36493,9513,19085.839,1068806.984
448,Rome,2019-03-13,0.429,44.09,16180,5073,6941.22,306038.38980000006
449,Naples,2019-03-13,0.486,34.37,24900,922,12101.4,415925.11799999996
450,Milan,2019-03-14,0.478,64.29,36215,9441,17310.77,1112909.4033000001
451,Rome,2019-03-14,0.643,30.16,16205,4970,10419.815,314261.6204
452,Naples,2019-03-14,0.684,23.47,24921,983,17045.964,400068.77508
453,Milan,2019-03-15,0.405,79.3,36184,9443,14654.52,1162103.436
454,Rome,2019-03-15,0.509,41.07,16263,5209,8277.867,339971.99769
455,Naples,2019-03-15,0.41,38.71,24748,1004,10146.68,392777.9828
456,Milan,2019-03-16,0.649,47.88,36320,9415,23571.68,1128612.0384
457,Rome,2019-03-16,0.7120000000000001,29.75,16101,5045,11463.912000000002,341051.38200000004
458,Naples,2019-03-16,0.685,21.36,24862,944,17030.47,363770.8392
459,Milan,2019-03-17,0.41700000000000004,75.02,36352,9475,15158.784000000001,1137211.9756800001
460,Rome,2019-03-17,0.5710000000000001,35.54,16476,5085,9407.796,334353.06984
461,Naples,2019-03-17,0.36200000000000004,46.62,25035,895,9062.670000000002,422501.67540000007
462,Milan,2019-03-18,0.43200000000000005,74.18,36297,9464,15680.304000000002,1163164.9507200003
463,Rome,2019-03-18,0.382,46.32,16308,5135,6229.656,288557.66592
464,Naples,2019-03-18,0.41100000000000003,42.99,24753,907,10173.483,437358.03417
465,Milan,2019-03-19,0.677,45.81,36294,9509,24571.038,1125599.2507800001
466,Rome,2019-03-19,0.664,30.07,16256,5037,10793.984,324575.09888
467,Naples,2019-03-19,0.512,30.79,24762,1038,12678.144,390360.05376
468,Milan,2019-03-20,0.512,58.24,36325,9459,18598.4,1083170.816
469,Rome,2019-03-20,0.73,28.13,16196,5096,11823.08,332583.2404
470,Naples,2019-03-20,0.522,30.46,24779,1091,12934.638,393989.07348
471,Milan,2019-03-21,0.48200000000000004,60.02,36335,9634,17513.47,1051158.4694
472,Rome,2019-03-21,0.5670000000000001,35.4,16252,5161,9214.884000000002,326206.89360000007
473,Naples,2019-03-21,0.727,23.35,24903,992,18104.481,422739.63135000004
474,Milan,2019-03-22,0.6890000000000001,42.14,36237,9539,24967.293,1052121.72702
475,Rome,2019-03-22,0.40299999999999997,47.98,16228,5062,6539.883999999999,313783.63431999995
476,Naples,2019-03-22,0.369,45.1,24980,980,9217.619999999999,415714.66199999995
477,Milan,2019-03-23,0.442,67.9,35933,9367,15882.386,1078414.0094
478,Rome,2019-03-23,0.586,32.05,16120,5032,9446.32,302754.556
479,Naples,2019-03-23,0.6809999999999999,24.02,25382,1039,17285.142,415189.11084
480,Milan,2019-03-24,0.43200000000000005,68.22,36226,9535,15649.632000000001,1067617.89504
481,Rome,2019-03-24,0.57,33.45,16173,5096,9218.609999999999,308362.5045
482,Naples,2019-03-24,0.382,40.48,25741,1100,9833.062,398042.34975999995
483,Milan,2019-03-25,0.35600000000000004,82.61,36099,9461,12851.244,1061641.26684
484,Rome,2019-03-25,0.69,29.3,16071,5014,11088.99,324907.407
485,Naples,2019-03-25,0.375,39.25,25690,943,9633.75,378124.6875
486,Milan,2019-03-26,0.518,61.65,36008,9470,18652.144,1149904.6776
487,Rome,2019-03-26,0.515,37.91,16090,5179,8286.35,314135.52849999996
488,Naples,2019-03-26,0.701,22.21,25595,820,17942.094999999998,398493.92994999996
489,Milan,2019-03-27,0.7440000000000001,40.97,36051,9480,26821.944000000003,1098895.0456800002
490,Rome,2019-03-27,0.58,36.08,15991,5137,9274.779999999999,334634.06239999994
491,Naples,2019-03-27,0.5,33.61,25511,1089,12755.5,428712.355
492,Milan,2019-03-28,0.382,77.93,36126,9451,13800.132,1075444.28676
493,Rome,2019-03-28,0.7390000000000001,27.51,15932,5058,11773.748000000001,323895.8074800001
494,Naples,2019-03-28,0.6859999999999999,23.91,25178,1046,17272.108,412976.10228
495,Milan,2019-03-29,0.7170000000000001,43.54,36146,9642,25916.682000000004,1128412.33428
496,Rome,2019-03-29,0.61,33.13,15706,4977,9580.66,317407.2658
497,Naples,2019-03-29,0.725,21.26,25246,1000,18303.35,389129.221
498,Milan,2019-03-30,0.528,57.75,36289,9516,19160.592,1106524.188
499,Rome,2019-03-30,0.568,34.74,15732,5152,8935.776,310428.85824000003
500,Naples,2019-03-30,0.49200000000000005,32.94,25084,952,12341.328000000001,406523.34432000003
501,Milan,2019-03-31,0.373,79.15,36482,9515,13607.786,1077056.2619
502,Rome,2019-03-31,0.47100000000000003,48.17,16163,5128,7612.773,366707.27541
503,Naples,2019-03-31,0.498,33.74,25314,961,12606.372,425338.99128
504,Milan,2019-04-01,0.402,76.08,36254,9470,14574.108,1108798.13664
505,Rome,2019-04-01,0.514,40.08,16196,5030,8324.744,333655.73952
506,Naples,2019-04-01,0.725,22.35,24941,838,18082.225,404137.72875
507,Milan,2019-04-02,0.606,50.49,36124,9500,21891.144,1105283.86056
508,Rome,2019-04-02,0.727,28.29,16538,5288,12023.126,340134.23454
509,Naples,2019-04-02,0.518,30.83,24962,1098,12930.316,398641.64228
510,Milan,2019-04-03,0.405,74.78,36079,9533,14611.995,1092684.9861
511,Rome,2019-04-03,0.539,37.83,16501,5229,8894.039,336461.49537
512,Naples,2019-04-03,0.562,29.14,25329,963,14234.898000000001,414804.92772000004
513,Milan,2019-04-04,0.41100000000000003,68.61,36115,9524,14843.265000000001,1018396.41165
514,Rome,2019-04-04,0.682,29.35,16283,5006,11105.006000000001,325931.92610000004
515,Naples,2019-04-04,0.382,42.35,25256,1007,9647.792,408583.9912
516,Milan,2019-04-05,0.615,50.48,36090,9453,22195.35,1120421.268
517,Rome,2019-04-05,0.525,38.24,16398,5183,8608.95,329206.248
518,Naples,2019-04-05,0.36200000000000004,41.35,24812,895,8981.944000000001,371403.38440000004
519,Milan,2019-04-06,0.6759999999999999,45.33,36248,9497,24503.647999999997,1110750.3638399998
520,Rome,2019-04-06,0.371,57.16,16234,5176,6022.814,344264.04824
521,Naples,2019-04-06,0.674,21.35,25138,1144,16943.012000000002,361733.30620000005
522,Milan,2019-04-07,0.5429999999999999,60.38,36553,9593,19848.279,1198439.08602
523,Rome,2019-04-07,0.434,46.42,16380,5060,7108.92,329996.0664
524,Naples,2019-04-07,0.622,24.97,25437,973,15821.814,395070.69558
525,Milan,2019-04-08,0.4,78.88,36431,9555,14572.400000000001,1149470.912
526,Rome,2019-04-08,0.424,43.97,16507,5237,6998.968,307744.62296
527,Naples,2019-04-08,0.452,35.7,25439,1091,11498.428,410493.87960000004
528,Milan,2019-04-09,0.593,50.83,36401,9533,21585.792999999998,1097205.8581899998
529,Rome,2019-04-09,0.504,40.49,16389,5099,8260.056,334449.66744000005
530,Naples,2019-04-09,0.405,38.58,25349,1027,10266.345000000001,396075.59010000003
531,Milan,2019-04-10,0.732,41.58,36397,9613,26642.604,1107799.47432
532,Rome,2019-04-10,0.662,31.87,16277,5131,10775.374,343411.16938
533,Naples,2019-04-10,0.45899999999999996,33.42,25215,841,11573.685,386792.5527
534,Milan,2019-04-11,0.6559999999999999,45.27,36423,9579,23893.487999999998,1081658.2017599999
535,Rome,2019-04-11,0.638,30.06,16546,5324,10556.348,317323.82088
536,Naples,2019-04-11,0.581,24.23,25038,1102,14547.078,352475.69994
537,Milan,2019-04-12,0.7090000000000001,42.88,36499,9572,25877.791,1109639.6780800002
538,Rome,2019-04-12,0.537,39.52,16461,5090,8839.557,349339.29264000006
539,Naples,2019-04-12,0.614,26.54,24871,956,15270.794,405286.87276
540,Milan,2019-04-13,0.606,49.57,36533,9506,22138.998,1097430.13086
541,Rome,2019-04-13,0.507,36.82,16502,5195,8366.514,308055.04548
542,Naples,2019-04-13,0.581,26.38,25142,1139,14607.501999999999,385345.90275999997
543,Milan,2019-04-14,0.581,52.24,36634,9509,21284.354,1111894.65296
544,Rome,2019-04-14,0.43700000000000006,46.5,16426,4999,7178.162000000001,333784.53300000005
545,Naples,2019-04-14,0.6559999999999999,23.42,25644,1207,16822.463999999996,393982.1068799999
546,Milan,2019-04-15,0.555,54.78,36448,9517,20228.640000000003,1108124.8992
547,Rome,2019-04-15,0.508,39.19,16394,5078,8328.152,326380.27687999996
548,Naples,2019-04-15,0.649,25.13,25324,1008,16435.276,413018.48588000005
549,Milan,2019-04-16,0.42,74.42,36245,9563,15222.9,1132888.218
550,Rome,2019-04-16,0.595,33.79,16336,5160,9719.92,328436.0968
551,Naples,2019-04-16,0.46799999999999997,35.33,25315,1281,11847.42,418569.34859999997
552,Milan,2019-04-17,0.547,55.32,36141,9605,19769.127,1093628.10564
553,Rome,2019-04-17,0.528,35.48,16173,5175,8539.344000000001,302975.92512
554,Naples,2019-04-17,0.431,39.65,25317,1151,10911.627,432646.01055
555,Milan,2019-04-18,0.38799999999999996,73.98,36073,9534,13996.323999999999,1035448.04952
556,Rome,2019-04-18,0.738,27.38,16553,5258,12216.114,334477.20132
557,Naples,2019-04-18,0.358,43.44,25165,909,9009.07,391354.0008
558,Milan,2019-04-19,0.4,73.86,36071,9536,14428.400000000001,1065681.624
559,Rome,2019-04-19,0.444,45.98,16368,5209,7267.392,334154.68415999995
560,Naples,2019-04-19,0.384,40.72,25278,1069,9706.752,395258.94144
561,Milan,2019-04-20,0.43700000000000006,69.39,36265,9501,15847.805000000002,1099679.18895
562,Rome,2019-04-20,0.513,40.69,16096,5041,8257.248,335987.42111999996
563,Naples,2019-04-20,0.359,38.23,25414,1097,9123.626,348796.22198
564,Milan,2019-04-21,0.5760000000000001,55.7,36385,9585,20957.760000000002,1167347.232
565,Rome,2019-04-21,0.5489999999999999,38.15,16418,5174,9013.481999999998,343864.33829999994
566,Naples,2019-04-21,0.535,30.35,25600,1118,13696.0,415673.60000000003
567,Milan,2019-04-22,0.701,42.92,36228,9460,25395.827999999998,1089988.93776
568,Rome,2019-04-22,0.647,29.78,16543,5376,10703.321,318744.89938
569,Naples,2019-04-22,0.745,22.05,25661,1165,19117.445,421539.66225
570,Milan,2019-04-23,0.531,58.38,36283,9561,19266.273,1124765.01774
571,Rome,2019-04-23,0.461,43.98,16458,5128,7587.138,333682.32924
572,Naples,2019-04-23,0.526,28.98,25571,1196,13450.346000000001,389791.02708
573,Milan,2019-04-24,0.359,83.85,36458,9622,13088.421999999999,1097464.1846999999
574,Rome,2019-04-24,0.377,57.66,16280,5132,6137.56,353891.7096
575,Naples,2019-04-24,0.456,33.57,25300,913,11536.800000000001,387290.37600000005
576,Milan,2019-04-25,0.5379999999999999,54.65,36644,9641,19714.471999999998,1077395.8948
577,Rome,2019-04-25,0.392,54.46,16249,5121,6369.608,346888.85168
578,Naples,2019-04-25,0.5660000000000001,29.97,25316,1115,14328.856000000002,429435.81432
579,Milan,2019-04-26,0.59,53.24,36531,9626,21553.289999999997,1147497.1596
580,Rome,2019-04-26,0.5489999999999999,39.52,16421,5232,9015.128999999999,356277.89808
581,Naples,2019-04-26,0.645,26.83,25312,973,16326.24,438033.0192
582,Milan,2019-04-27,0.441,71.34,36537,9498,16112.817000000001,1149488.3647800002
583,Rome,2019-04-27,0.584,33.19,16458,5282,9611.472,319004.75567999994
584,Naples,2019-04-27,0.43,35.48,25507,963,10968.01,389144.9948
585,Milan,2019-04-28,0.596,50.51,36712,9604,21880.352,1105176.57952
586,Rome,2019-04-28,0.737,27.53,16487,5157,12150.919,334514.80007
587,Naples,2019-04-28,0.727,21.95,25776,1004,18739.152,411324.38639999996
588,Milan,2019-04-29,0.361,83.86,36425,9571,13149.425,1102710.7804999999
589,Rome,2019-04-29,0.402,53.66,16345,5207,6570.6900000000005,352583.2254
590,Naples,2019-04-29,0.503,30.33,25439,1039,12795.817000000001,388097.12961
591,Milan,2019-04-30,0.698,42.23,36459,9550,25448.381999999998,1074685.17186
592,Rome,2019-04-30,0.622,32.85,16436,5226,10223.192,335831.85719999997
593,Naples,2019-04-30,0.369,42.33,25471,1092,9398.798999999999,397851.16166999994
594,Milan,2019-05-01,0.46299999999999997,63.07,36521,9555,16909.222999999998,1066464.69461
595,Rome,2019-05-01,0.6579999999999999,29.45,16444,5221,10820.151999999998,318653.4763999999
596,Naples,2019-05-01,0.727,21.37,25637,1128,18638.099,398296.17562999995
597,Milan,2019-05-02,0.513,60.14,36301,9609,18622.413,1119951.91782
598,Rome,2019-05-02,0.48100000000000004,42.34,16448,5157,7911.488,334972.40192000003
599,Naples,2019-05-02,0.595,28.84,25742,1161,15316.49,441727.57159999997
600,Milan,2019-05-03,0.682,42.58,36458,9607,24864.356000000003,1058724.27848
601,Rome,2019-05-03,0.601,35.6,16482,5229,9905.681999999999,352642.2792
602,Naples,2019-05-03,0.696,23.7,25529,923,17768.183999999997,421105.96079999994
603,Milan,2019-05-04,0.39,77.3,36318,9612,14164.02,1094878.746
604,Rome,2019-05-04,0.691,29.87,16564,5254,11445.723999999998,341883.77588
605,Naples,2019-05-04,0.49,32.54,25718,1077,12601.82,410063.2228
606,Milan,2019-05-05,0.444,67.35,36666,9607,16279.704,1096438.0643999998
607,Rome,2019-05-05,0.737,28.55,16763,5161,12354.331,352716.15005
608,Naples,2019-05-05,0.506,28.51,25751,1046,13030.006,371485.47106
609,Milan,2019-05-06,0.509,59.75,36583,9562,18620.747,1112589.63325
610,Rome,2019-05-06,0.637,29.55,16517,5149,10521.329,310905.27195
611,Naples,2019-05-06,0.629,26.3,25564,1083,16079.756,422897.5828
612,Milan,2019-05-07,0.746,41.33,36488,9569,27220.048,1125004.58384
613,Rome,2019-05-07,0.59,34.81,16331,5178,9635.289999999999,335404.4449
614,Naples,2019-05-07,0.672,22.96,25726,1069,17287.872,396929.54112
615,Milan,2019-05-08,0.547,57.07,36576,9595,20007.072,1141803.59904
616,Rome,2019-05-08,0.568,38.54,16172,5146,9185.696,354016.72384
617,Naples,2019-05-08,0.649,26.29,25362,868,16459.938000000002,432731.77002000005
618,Milan,2019-05-09,0.743,39.61,36610,9669,27201.23,1077440.7203
619,Rome,2019-05-09,0.392,47.32,16452,5268,6449.184,305175.38688
620,Naples,2019-05-09,0.373,42.87,25443,1134,9490.239,406846.54592999996
621,Milan,2019-05-10,0.504,59.04,36655,9546,18474.12,1090712.0448
622,Rome,2019-05-10,0.7340000000000001,27.49,16353,5209,12003.102,329965.27398
623,Naples,2019-05-10,0.727,23.68,25486,1008,18528.322,438750.66496
624,Milan,2019-05-11,0.6609999999999999,45.09,36607,9600,24197.226999999995,1091052.9654299999
625,Rome,2019-05-11,0.738,26.0,16203,5151,11957.814,310903.164
626,Naples,2019-05-11,0.58,30.46,25456,1165,14764.48,449726.0608
627,Milan,2019-05-12,0.561,53.75,36668,9468,20570.748000000003,1105677.705
628,Rome,2019-05-12,0.728,27.45,16589,5216,12076.792,331507.94039999996
629,Naples,2019-05-12,0.711,22.24,25769,1198,18321.759,407475.9201599999
630,Milan,2019-05-13,0.35100000000000003,86.26,36600,9577,12846.6,1108147.716
631,Rome,2019-05-13,0.47,42.1,16284,5170,7653.48,322211.508
632,Naples,2019-05-13,0.46399999999999997,36.02,25926,1124,12029.663999999999,433308.49728
633,Milan,2019-05-14,0.484,62.15,36459,9556,17646.156,1096708.5954
634,Rome,2019-05-14,0.439,46.84,16378,5096,7189.942,336776.88328
635,Naples,2019-05-14,0.7190000000000001,22.84,26013,1087,18703.347,427184.44548000005
636,Milan,2019-05-15,0.531,58.16,36299,9577,19274.769,1121020.56504
637,Rome,2019-05-15,0.705,29.84,16441,5190,11590.904999999999,345872.6052
638,Naples,2019-05-15,0.737,23.75,25944,997,19120.728,454117.29
639,Milan,2019-05-16,0.46299999999999997,66.05,36552,9641,16923.575999999997,1117802.1947999997
640,Rome,2019-05-16,0.401,45.63,16421,5323,6584.821000000001,300465.38223000005
641,Naples,2019-05-16,0.542,26.8,26065,1330,14127.230000000001,378609.764
642,Milan,2019-05-17,0.727,42.2,36429,9546,26483.882999999998,1117619.8625999999
643,Rome,2019-05-17,0.7070000000000001,27.03,16483,5229,11653.481000000002,314993.59143000003
644,Naples,2019-05-17,0.6829999999999999,24.5,25737,854,17578.371,430670.0895
645,Milan,2019-05-18,0.377,80.37,36404,9512,13724.308,1103022.6339600002
646,Rome,2019-05-18,0.441,44.05,16371,5192,7219.611,318023.86455
647,Naples,2019-05-18,0.6659999999999999,26.38,25493,992,16978.338,447888.55643999996
648,Milan,2019-05-19,0.6940000000000001,45.18,36457,9642,25301.158000000003,1143106.31844
649,Rome,2019-05-19,0.514,39.52,16458,5103,8459.412,334315.96224
650,Naples,2019-05-19,0.521,30.26,25612,980,13343.852,403784.96152000007
651,Milan,2019-05-20,0.447,68.81,36598,9682,16359.306,1125683.84586
652,Rome,2019-05-20,0.602,33.57,16423,5195,9886.645999999999,331894.70621999993
653,Naples,2019-05-20,0.657,26.15,25827,1152,16968.339,443722.06484999997
654,Milan,2019-05-21,0.414,70.39,36415,9547,15075.81,1061186.2659
655,Rome,2019-05-21,0.5920000000000001,33.54,16122,5145,9544.224000000002,320113.27296000003
656,Naples,2019-05-21,0.366,44.9,25631,1174,9380.946,421204.4754
657,Milan,2019-05-22,0.511,56.41,36496,9581,18649.456000000002,1052015.81296
658,Rome,2019-05-22,0.57,35.0,16119,5139,9187.83,321574.05
659,Naples,2019-05-22,0.402,38.44,25742,1003,10348.284000000001,397788.03696000006
660,Milan,2019-05-23,0.7,43.16,36560,9564,25592.0,1104550.72
661,Rome,2019-05-23,0.624,34.83,16177,5095,10094.448,351589.62384
662,Naples,2019-05-23,0.384,44.22,25779,1120,9899.136,437739.79392
663,Milan,2019-05-24,0.467,65.67,36548,9647,17067.916,1120850.0437200002
664,Rome,2019-05-24,0.628,30.98,16249,5315,10204.372,316131.44456
665,Naples,2019-05-24,0.456,35.96,25911,1214,11815.416000000001,424882.35936000006
666,Milan,2019-05-25,0.467,65.93,36573,9628,17079.591,1126057.43463
667,Rome,2019-05-25,0.379,53.58,16289,5163,6173.531,330777.79098
668,Naples,2019-05-25,0.489,33.47,25644,844,12539.916,419710.98851999996
669,Milan,2019-05-26,0.457,63.35,36716,9578,16779.212,1062963.0802
670,Rome,2019-05-26,0.5670000000000001,36.15,16579,5168,9400.293000000001,339820.59195000003
671,Naples,2019-05-26,0.503,32.86,26270,1363,13213.81,434205.7966
672,Milan,2019-05-27,0.551,52.23,36992,9618,20382.592,1064582.7801599998
673,Rome,2019-05-27,0.5539999999999999,36.07,16604,5225,9198.615999999998,331794.07911999995
674,Naples,2019-05-27,0.456,36.2,26001,966,11856.456,429203.70720000006
675,Milan,2019-05-28,0.359,83.08,36977,9561,13274.742999999999,1102865.64844
676,Rome,2019-05-28,0.5539999999999999,36.48,16521,5240,9152.633999999998,333888.0883199999
677,Naples,2019-05-28,0.737,22.52,25818,1151,19027.865999999998,428507.54231999995
678,Milan,2019-05-29,0.375,80.18,36707,9620,13765.125,1103687.7225000001
679,Rome,2019-05-29,0.518,47.34,16409,5222,8499.862000000001,402383.4670800001
